Archivo,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
mask_berenjena1.jpg,2.9742658208730086,6.151579414261932,9.794917806168815,9.908691026958428,9.999999999996191,9.99991538172029,9.99999999999972
mask_berenjena10.jpg,2.9684169604720814,6.136745403320428,9.758634215711027,9.884336518119914,9.99999999999369,9.999887100979986,-9.999999999999831
mask_berenjena11.jpg,2.9582894886034232,6.101427733509637,9.798436863120052,9.898934928871267,9.999999999995524,9.999898778411115,-9.999999999999943
mask_berenjena12.jpg,2.9694513854110305,6.15288642354704,9.705537154242013,9.847229506758337,9.99999999998836,9.999849055202677,9.99999999999875
mask_berenjena13.jpg,2.979722912095931,6.172450321113406,9.744273491748237,9.876746272785518,9.999999999992696,9.99988361305134,-9.999999999999694
mask_berenjena14.jpg,2.9752782074249335,6.153702525281994,9.807262704149805,9.915473564136365,9.999999999996785,9.999923303701811,9.99999999999966
mask_berenjena15.jpg,2.975841574102528,6.158952415221834,9.773964690730239,9.898771397403861,9.999999999995202,9.999906883097367,9.999999999999476
mask_berenjena16.jpg,2.9937252993230343,6.217206623684288,9.755908595577644,9.888384381230408,9.999999999994046,9.999903196558812,-9.99999999999941
mask_berenjena17.jpg,2.9690888014844625,6.138341370067674,9.759263672787784,9.884438647547134,9.999999999993708,9.999887179324206,-9.999999999999938
mask_berenjena2.jpg,2.9705156296919535,6.139482598906842,9.797654648888477,9.909218320710156,9.999999999996257,9.99991473041152,9.999999999999751
mask_berenjena3.jpg,2.9785258490250492,6.16497171971836,9.777583688172658,9.898852225327193,9.99999999999523,9.999905913660577,-9.999999999999883
mask_berenjena4.jpg,2.9645313610849193,6.126353726321837,9.75130164994395,9.876204670765553,9.999999999992772,9.999876389165252,9.999999999999762
mask_berenjena5.jpg,2.9786050103991086,6.163704119703818,9.79375625310669,9.906091967195838,9.999999999995987,9.999913417273547,-9.999999999999865
mask_berenjena6.jpg,2.980185574465717,6.168968337458937,9.865167750975505,9.945295486302767,9.999999999998714,9.999952141707604,-9.999999999999929
mask_berenjena7.jpg,2.9269821329187025,6.023049676287706,9.742333533768173,9.862760099989373,9.999999999991173,9.99984376698778,9.999999999999298
mask_berenjena8.jpg,2.978969778017724,6.168570627405662,9.79479351151669,9.9070528417747,9.999999999996072,9.999915274153063,-9.999999999999753
mask_berenjena9.jpg,2.970831309523059,6.143864532988789,9.860422102374102,9.928618998996937,9.999999999997987,9.999934585136891,-9.99999999999984
mask_camote1.jpg,2.950736899496049,6.071358559754551,9.861996396282434,9.934322378898147,9.999999999998266,9.99994009453365,-9.999999999999751
mask_camote10.jpg,2.9547596849803752,6.083843285002177,9.843616540799724,9.92011544122859,9.999999999997417,9.999924370025276,9.99999999999975
mask_camote11.jpg,2.9518121542968645,6.0742940420610205,9.867665081145413,9.935261065779745,9.999999999998343,9.999940181131077,-9.999999999999794
mask_camote12.jpg,2.9509300488871353,6.072023744084949,9.857580612168563,9.931122099640309,9.999999999998089,9.999936352136197,-9.999999999999751
mask_camote13.jpg,2.9496494766097654,6.068825458393634,9.83430928024333,9.911436469061593,9.999999999996826,9.999912867604555,9.999999999999744
mask_camote14.jpg,2.954256358178759,6.0819528147782975,9.862448162636834,9.93303980638257,9.99999999999821,9.999938468089788,-9.999999999999782
mask_camote15.jpg,2.9637070457782007,6.114137599077056,9.862405490701946,9.936644497850686,9.999999999998373,9.999943995016945,-9.999999999999723
mask_camote16.jpg,2.9535874152674664,6.080337970680066,9.84670759235574,9.92037364714902,9.999999999997462,9.999924103903272,9.999999999999758
mask_camote17.jpg,2.9439100236927707,6.051682850475802,9.849019283712272,9.9222583771245,9.999999999997584,9.99992472056157,9.99999999999973
mask_camote2.jpg,2.9518854910743966,6.074471524466946,9.862767317217063,9.93459985564362,9.99999999999828,9.999940132919587,-9.999999999999769
mask_camote3.jpg,2.9540044473345577,6.081428107290568,9.849245582456598,9.921765639278656,9.999999999997558,9.9999254668613,9.999999999999773
mask_camote4.jpg,2.9549401796744985,6.083521202998754,9.870343403304638,9.938677831082225,9.9999999999985,9.999944577233412,-9.999999999999797
mask_camote5.jpg,2.8020841146237263,6.253485269150968,8.567066908382975,8.993224406122884,-9.999999997362513,9.997863491525534,9.999999994446503
mask_camote6.jpg,2.951104565177303,6.073218980641273,9.844786886974495,9.919240608608254,9.99999999999738,9.999921957666333,9.999999999999764
mask_camote7.jpg,2.958537906886066,6.095100020189158,9.85915840758784,9.930759534749352,9.99999999999808,9.999936705613715,9.999999999999785
mask_camote8.jpg,2.9470351964308077,6.060644136419354,9.849703813773239,9.921962629142854,9.999999999997573,9.999924634174597,9.999999999999753
mask_camote9.jpg,2.9478677175428682,6.062249302125619,9.868166654957234,9.935421144174853,9.999999999998353,9.999939675628248,-9.999999999999792
mask_papa1.jpg,3.1754607286682224,7.2867935604464895,9.978656835616425,9.999109586229585,9.999999999999998,9.999999797624627,-10.0
mask_papa10.jpg,3.169112737681545,7.188752009098094,9.97979290427493,9.999035943049877,9.999999999999998,9.999999758024318,10.0
mask_papa11.jpg,3.1763275261540325,7.307863878667559,9.977319632598748,9.999201195975772,10.0,9.999999823795227,-10.0
mask_papa12.jpg,3.17562790340842,7.288780382475974,9.980264148345197,9.999204440253447,10.0,9.999999819909606,10.0
mask_papa13.jpg,3.151602152069754,6.991145179393041,9.974956599265672,9.99787635174353,9.999999999999996,9.999999342575219,10.0
mask_papa14.jpg,3.179744858673436,7.362528514385374,9.982138860098798,9.999453522254893,10.0,9.999999886217992,-10.0
mask_papa15.jpg,3.178698701321889,7.363699718275492,9.979308443853112,9.999257067820203,10.0,9.999999845526489,10.0
mask_papa16.jpg,3.178032158109228,7.339380892319081,9.975437922531029,9.999093283497468,9.999999999999998,9.999999806214163,10.0
mask_papa17.jpg,3.1780251217529365,7.335025433243776,9.978072435618081,9.99916935225308,10.0,9.999999822541978,10.0
mask_papa2.jpg,3.1495493857461136,6.978492563294422,9.957938404425281,9.996278643382924,9.99999999999999,9.99999879616211,9.999999999999998
mask_papa3.jpg,3.149481301763783,6.977044417121673,9.958475840213673,9.996358072600442,9.99999999999999,9.999998817524915,-10.0
